ent_station,ext_station,ent_time_period,riders_average_weekday,trip_length
benning road,eastern market,AM Peak,35.86363636363637,3
benning road,eisenhower avenue,AM Peak,2.272727272727273,14
benning road,farragut north,AM Peak,14.863636363636363,10
benning road,farragut west,AM Peak,125.54545454545456,11
benning road,federal center sw,AM Peak,34.40909090909091,5
benning road,federal triangle,AM Peak,39.5,8
benning road,foggy bottom gwu,AM Peak,96.6818181818182,10
benning road,forest glen,AM Peak,0.8636363636363636,17
benning road,fort totten,AM Peak,17.818181818181817,14
benning road,franconia springfield,AM Peak,6.909090909090909,15
benning road,friendship heights,AM Peak,14.909090909090908,16
benning road,gallery place,AM Peak,25.13636363636364,8
benning road,georgia avenue petworth,AM Peak,23.272727272727277,13
benning road,glenmont,AM Peak,2.863636363636364,19
benning road,greenbelt,AM Peak,5.090909090909091,18
benning road,grosvenor strathmore,AM Peak,1.318181818181818,19
benning road,huntington,AM Peak,4.454545454545454,15
benning road,judiciary square,AM Peak,34.59090909090909,9
benning road,king street old town,AM Peak,10.954545454545457,13
benning road,landover,AM Peak,1.5909090909090908,5
benning road,largo,AM Peak,19.727272727272727,4
benning road,l'enfant plaza,AM Peak,46.90909090909091,6
benning road,mcpherson square,AM Peak,73.86363636363636,10
benning road,medical center,AM Peak,11.272727272727272,18
benning road,metro center,AM Peak,66.77272727272727,9
benning road,minnesota avenue,AM Peak,6.954545454545454,2
benning road,morgan boulevard,AM Peak,12.954545454545457,3
benning road,mount vernon square,AM Peak,12.909090909090908,9
benning road,navy yard ballpark,AM Peak,8.681818181818182,8
benning road,naylor road,AM Peak,2.5,12
benning road,new carrollton,AM Peak,10.954545454545457,6
benning road,noma gallaudet u,AM Peak,23.5,11
benning road,pentagon,AM Peak,16.40909090909091,7
benning road,pentagon city,AM Peak,15.318181818181818,8
benning road,potomac avenue,AM Peak,30.727272727272727,2
benning road,hyattsville crossing,AM Peak,12.0,16
benning road,national airport,AM Peak,6.045454545454546,10
benning road,rhode island avenue,AM Peak,24.13636363636364,12
benning road,rockville,AM Peak,6.454545454545454,22
benning road,rosslyn,AM Peak,19.09090909090909,9
benning road,shady grove,AM Peak,7.136363636363637,23
benning road,shaw howard university,AM Peak,35.22727272727273,10
benning road,silver spring,AM Peak,14.818181818181818,16
benning road,smithsonian,AM Peak,38.27272727272727,7
benning road,southern avenue,AM Peak,10.090909090909092,11
benning road,stadium armory,AM Peak,38.54545454545455,1
benning road,suitland,AM Peak,5.636363636363637,13
benning road,takoma,AM Peak,5.545454545454546,15
benning road,tenleytown au,AM Peak,22.863636363636363,15
benning road,twinbrook,AM Peak,3.272727272727273,21
benning road,u street,AM Peak,33.59090909090909,11
benning road,union station,AM Peak,17.954545454545453,10
benning road,van dorn street,AM Peak,2.590909090909091,14
benning road,van ness udc,AM Peak,13.636363636363637,14
benning road,vienna,AM Peak,3.4545454545454546,17
benning road,virginia square gmu,AM Peak,2.909090909090909,12
benning road,waterfront,AM Peak,19.272727272727277,7
benning road,west falls church,AM Peak,9.181818181818182,15
benning road,west hyattsville,AM Peak,1.4090909090909092,15
benning road,wheaton,AM Peak,2.090909090909091,18
benning road,north bethesda,AM Peak,6.909090909090909,20
benning road,woodley park,AM Peak,5.7727272727272725,12
bethesda,addison road,AM Peak,0.6818181818181818,19
bethesda,anacostia,AM Peak,5.227272727272728,14
bethesda,archives,AM Peak,11.545454545454543,10
bethesda,arlington cemetery,AM Peak,2.4545454545454546,13
bethesda,ballston-mu,AM Peak,18.227272727272727,16
bethesda,benning road,AM Peak,0.1818181818181818,17
bethesda,bethesda,AM Peak,8.454545454545455,0
bethesda,braddock road,AM Peak,2.590909090909091,17
bethesda,branch avenue,AM Peak,3.0,19
bethesda,brookland cua,AM Peak,15.227272727272728,14
bethesda,capitol heights,AM Peak,0.2727272727272727,18
bethesda,capitol south,AM Peak,49.27272727272727,13
bethesda,cheverly,AM Peak,0.0454545454545454,19
bethesda,clarendon,AM Peak,4.7727272727272725,14
bethesda,cleveland park,AM Peak,8.090909090909092,4
bethesda,college park university of maryland,AM Peak,4.0,18
bethesda,columbia heights,AM Peak,3.363636363636364,13
bethesda,congress heights,AM Peak,1.4545454545454546,15
bethesda,court house,AM Peak,11.181818181818182,13
bethesda,crystal city,AM Peak,32.22727272727273,14
bethesda,dunn loring,AM Peak,0.5454545454545454,19
bethesda,dupont circle,AM Peak,238.3636363636364,6
bethesda,east falls church,AM Peak,1.2272727272727273,17
bethesda,eastern market,AM Peak,7.227272727272727,14
bethesda,eisenhower avenue,AM Peak,2.227272727272727,19
bethesda,farragut north,AM Peak,835.8636363636364,7
bethesda,farragut west,AM Peak,4.409090909090909,10
bethesda,federal center sw,AM Peak,55.18181818181818,12
bethesda,federal triangle,AM Peak,47.90909090909091,9
bethesda,foggy bottom gwu,AM Peak,45.0,11
bethesda,forest glen,AM Peak,0.2727272727272727,18
bethesda,fort totten,AM Peak,0.4545454545454545,15
bethesda,franconia springfield,AM Peak,2.136363636363636,20
bethesda,friendship heights,AM Peak,75.4090909090909,1
bethesda,gallery place,AM Peak,172.6818181818182,9
bethesda,georgia avenue petworth,AM Peak,0.7727272727272727,14
bethesda,glenmont,AM Peak,0.3636363636363636,20
bethesda,greenbelt,AM Peak,0.9090909090909092,19
bethesda,grosvenor strathmore,AM Peak,6.5,2
bethesda,huntington,AM Peak,1.0,20
bethesda,judiciary square,AM Peak,131.8181818181818,10
bethesda,king street old town,AM Peak,18.40909090909091,18
bethesda,landover,AM Peak,1.0909090909090908,20
bethesda,largo,AM Peak,0.1363636363636363,21
bethesda,l'enfant plaza,AM Peak,84.0,11
bethesda,mcpherson square,AM Peak,31.818181818181817,9
bethesda,medical center,AM Peak,108.27272727272728,1
bethesda,metro center,AM Peak,426.7272727272728,8
